race_id,venue_slug,date,race_no,banum,player_name,pref,age,term,player_class,running_style,gear,race_score,mark,mark_num,win_rate_4m,top2_rate_4m,top3_rate_4m,nige_4m,maku_4m,close_time,true_line,n_lines,n_players
4220260804010002,nagoya,2026-08-04,2,4,松山 桂輔  愛,知,42,88,A1,追,3.92,87.03,×,1,15.3,26.9,53.8,0,1,16:09,5-2-3/6/1-4-7,3,7
4220260804010002,nagoya,2026-08-04,2,5,梅田 加津也,神奈川,32,119,A1,逃,3.93,87.91,○,5,29.1,41.6,54.1,3,3,16:09,5-2-3/6/1-4-7,3,7
4220260804010002,nagoya,2026-08-04,2,6,山田 武  群,馬,49,87,A2,追,3.86,78.16,,0,0.0,0.0,8.3,0,0,16:09,5-2-3/6/1-4-7,3,7
4220260804010002,nagoya,2026-08-04,2,7,山崎 晃  石,川,40,95,A2,両,3.92,82.69,▲,3,13.0,17.3,39.1,3,0,16:09,5-2-3/6/1-4-7,3,7
4220260804010003,nagoya,2026-08-04,3,1,坂本 拓也  福,島,40,111,A1,両,3.92,86.88,○,5,16.0,24.0,56.0,0,3,16:33,5-1-6/4/2-7-3,3,7
4220260804010003,nagoya,2026-08-04,3,2,石口 慶多  兵,庫,37,103,A1,両,3.93,90.47,×,1,4.7,4.7,4.7,0,1,16:33,5-1-6/4/2-7-3,3,7
4220260804010003,nagoya,2026-08-04,3,3,越智 展孝  愛,媛,44,88,A2,追,3.92,84.76,注,2,14.2,28.5,38.0,0,0,16:33,5-1-6/4/2-7-3,3,7
4220260804010003,nagoya,2026-08-04,3,4,江端 隆司  福,井,33,103,A2,逃,3.92,84.0,▲,3,28.5,33.3,33.3,2,1,16:33,5-1-6/4/2-7-3,3,7
4220260804010003,nagoya,2026-08-04,3,5,吉田 優斗  岩,手,26,125,A1,逃,3.92,88.55,◎,6,22.2,55.5,72.2,8,2,16:33,5-1-6/4/2-7-3,3,7
4220260804010003,nagoya,2026-08-04,3,6,清水 邦章  香,川,55,68,A2,追,3.92,78.0,,0,0.0,0.0,9.5,0,0,16:33,5-1-6/4/2-7-3,3,7
4220260804010003,nagoya,2026-08-04,3,7,坂田 学  兵,庫,50,83,A2,両,3.85,81.8,△,4,3.8,15.3,30.7,0,1,16:33,5-1-6/4/2-7-3,3,7
4220260804010004,nagoya,2026-08-04,4,1,太田黒 大心  熊,本,51,74,A2,追,3.85,85.94,△,4,0.0,16.6,44.4,0,0,16:57,3-2-6/4/7-5-1,3,7
4220260804010004,nagoya,2026-08-04,4,2,須藤 直道  群,馬,54,68,A1,追,3.92,82.66,注,2,14.2,19.0,23.8,0,1,16:57,3-2-6/4/7-5-1,3,7
4220260804010004,nagoya,2026-08-04,4,3,龍野 琳太郎  岡,山,25,123,A1,逃,3.92,90.25,×,1,29.6,59.2,62.9,7,7,16:57,3-2-6/4/7-5-1,3,7
4220260804010004,nagoya,2026-08-04,4,4,郡 英治  広,島,56,68,A2,追,3.92,82.61,▲,3,7.6,15.3,46.1,0,0,16:57,3-2-6/4/7-5-1,3,7
4220260804010004,nagoya,2026-08-04,4,5,阿部 兼士  福,岡,42,93,A1,追,3.86,88.04,◎,6,18.1,59.0,63.6,0,0,16:57,3-2-6/4/7-5-1,3,7
4220260804010004,nagoya,2026-08-04,4,6,福森 慎太郎  千,葉,49,84,A2,逃,3.92,73.16,,0,22.2,33.3,44.4,5,1,16:57,3-2-6/4/7-5-1,3,7
4220260804010004,nagoya,2026-08-04,4,7,山口 留稀哉  長,崎,23,127,A2,逃,3.92,81.72,○,5,47.3,73.6,78.9,8,4,16:57,3-2-6/4/7-5-1,3,7
4220260804010005,nagoya,2026-08-04,5,1,中島 将尊  東,京,32,105,A1,追,3.85,95.69,△,4,15.3,30.7,53.8,0,1,17:21,5-2-7/1/4-3/6,4,7
4220260804010005,nagoya,2026-08-04,5,2,宮越 孝治  富,山,47,82,A1,追,3.92,92.67,○,5,0.0,10.3,20.6,0,0,17:21,5-2-7/1/4-3/6,4,7
4220260804010005,nagoya,2026-08-04,5,3,福島 栄一  香,川,42,93,A1,追,3.93,93.89,×,1,10.7,14.2,32.1,0,0,17:21,5-2-7/1/4-3/6,4,7
4220260804010005,nagoya,2026-08-04,5,4,原井 剣也  福,岡,32,119,A1,逃,3.92,91.47,▲,3,30.0,35.0,60.0,1,2,17:21,5-2-7/1/4-3/6,4,7
4220260804010005,nagoya,2026-08-04,5,5,疋田 力也  愛,知,25,119,A1,両,3.92,93.03,◎,6,7.6,11.5,19.2,1,1,17:21,5-2-7/1/4-3/6,4,7
4220260804010005,nagoya,2026-08-04,5,6,大西 祐  岡,山,39,91,A1,両,3.92,91.35,,0,7.1,10.7,17.8,0,2,17:21,5-2-7/1/4-3/6,4,7
4220260804010005,nagoya,2026-08-04,5,7,小橋 明紀  青,森,53,73,A1,追,3.92,92.73,注,2,5.2,15.7,21.0,0,0,17:21,5-2-7/1/4-3/6,4,7
2620260803020001,seibuen,2026-08-04,1,1,倉野 隆太郎  三,重,42,91,A2,追,3.92,82.11,○,5,11.1,18.5,29.6,0,1,16:01,4-1/2-6/3/5/7,5,7
2620260803020001,seibuen,2026-08-04,1,2,大森 光明,北海道,27,117,A2,両,3.93,85.75,×,1,12.5,33.3,58.3,2,3,16:01,4-1/2-6/3/5/7,5,7
2620260803020001,seibuen,2026-08-04,1,3,萱島 大介  大,分,46,99,A2,追,3.93,84.87,△,4,4.1,25.0,41.6,0,1,16:01,4-1/2-6/3/5/7,5,7
2620260803020001,seibuen,2026-08-04,1,4,丹波 孝佑  大,阪,38,98,A1,逃,3.92,84.61,◎,6,19.0,38.0,47.6,8,0,16:01,4-1/2-6/3/5/7,5,7
2620260803020001,seibuen,2026-08-04,1,5,藤原 亮太  岡,山,38,97,A2,両,3.92,79.93,,0,0.0,6.6,26.6,0,1,16:01,4-1/2-6/3/5/7,5,7
