month,race_id,variant,policy,target,head_bust,candidate_sets,actual,set_match,eligible_count,picks,pick_odds,ticket_count,bet,hit,stake,pay
2025_12,4220251201020001,BASE,MKT2,3,1.0,4-5-7,7-5-1,0.0,6,7-5-4|5-7-4,47.60|85.90,2,1,0,200,0
2025_12,4220251201020001,OH_HIGH,MKT1,3,1.0,,7-5-1,0.0,0,,,0,0,0,0,0
2025_12,4220251201020001,OH_HIGH,MKT2,3,1.0,,7-5-1,0.0,0,,,0,0,0,0,0
2025_12,4220251201030001,BASE,MKT1,1,0.0,2-4-5,3-4-1,0.0,6,2-5-4,35.30,1,1,0,100,0
2025_12,4220251201030001,BASE,MKT2,1,0.0,2-4-5,3-4-1,0.0,6,2-5-4|2-4-5,35.30|51.80,2,1,0,200,0
2025_12,4220251201030001,OH_HIGH,MKT1,1,0.0,2-3-4,3-4-1,0.0,5,4-2-3,50.60,1,1,0,100,0
2025_12,4220251201030001,OH_HIGH,MKT2,1,0.0,2-3-4,3-4-1,0.0,5,4-2-3|2-4-3,50.60|102.00,2,1,0,200,0
2025_12,4220251201010002,BASE,MKT1,5,1.0,1-3-4,4-3-1,1.0,6,4-1-3,34.00,1,1,0,100,0
2025_12,4220251201010002,BASE,MKT2,5,1.0,1-3-4,4-3-1,1.0,6,4-1-3|4-3-1,34.00|50.60,2,1,1,200,5060
2025_12,4220251201010002,OH_HIGH,MKT1,5,1.0,1-3-4,4-3-1,1.0,6,4-1-3,34.00,1,1,0,100,0
2025_12,4220251201010002,OH_HIGH,MKT2,5,1.0,1-3-4,4-3-1,1.0,6,4-1-3|4-3-1,34.00|50.60,2,1,1,200,5060
2025_12,4220251201020002,BASE,MKT1,7,1.0,1-2-4,3-1-4,0.0,6,1-4-2,43.00,1,1,0,100,0
2025_12,4220251201020002,BASE,MKT2,7,1.0,1-2-4,3-1-4,0.0,6,1-4-2|1-2-4,43.00|65.80,2,1,0,200,0
2025_12,4220251201020002,OH_HIGH,MKT1,7,1.0,1-2-4,3-1-4,0.0,6,1-4-2,43.00,1,1,0,100,0
2025_12,4220251201020002,OH_HIGH,MKT2,7,1.0,1-2-4,3-1-4,0.0,6,1-4-2|1-2-4,43.00|65.80,2,1,0,200,0
2025_12,4220251201010003,BASE,MKT1,4,0.0,2-5-7,6-1-4,0.0,5,2-5-7,40.70,1,1,0,100,0
2025_12,4220251201010003,BASE,MKT2,4,0.0,2-5-7,6-1-4,0.0,5,2-5-7|7-5-2,40.70|48.60,2,1,0,200,0
2025_12,4220251201010003,OH_HIGH,MKT1,4,0.0,2-5-7,6-1-4,0.0,5,2-5-7,40.70,1,1,0,100,0
2025_12,4220251201010003,OH_HIGH,MKT2,4,0.0,2-5-7,6-1-4,0.0,5,2-5-7|7-5-2,40.70|48.60,2,1,0,200,0
2025_12,4220251201020003,BASE,MKT1,3,0.0,4-5-7,3-7-5,0.0,5,4-5-7,34.00,1,1,0,100,0
2025_12,4220251201020003,BASE,MKT2,3,0.0,4-5-7,3-7-5,0.0,5,4-5-7|5-7-4,34.00|58.80,2,1,0,200,0
2025_12,4220251201020003,OH_HIGH,MKT1,3,0.0,4-5-7,3-7-5,0.0,5,4-5-7,34.00,1,1,0,100,0
2025_12,4220251201020003,OH_HIGH,MKT2,3,0.0,4-5-7,3-7-5,0.0,5,4-5-7|5-7-4,34.00|58.80,2,1,0,200,0
2025_12,4220251201030003,BASE,MKT1,3,1.0,1-5-7,5-2-7,0.0,5,5-7-1,56.00,1,1,0,100,0
2025_12,4220251201030003,BASE,MKT2,3,1.0,1-5-7,5-2-7,0.0,5,5-7-1|7-5-1,56.00|211.70,2,1,0,200,0
2025_12,4220251201030003,OH_HIGH,MKT1,3,1.0,1-5-7,5-2-7,0.0,5,5-7-1,56.00,1,1,0,100,0
2025_12,4220251201030003,OH_HIGH,MKT2,3,1.0,1-5-7,5-2-7,0.0,5,5-7-1|7-5-1,56.00|211.70,2,1,0,200,0
2025_12,4220251201010004,BASE,MKT1,6,0.0,1-3-7,6-3-7,0.0,6,3-7-1,183.60,1,1,0,100,0
2025_12,4220251201010004,BASE,MKT2,6,0.0,1-3-7,6-3-7,0.0,6,3-7-1|3-1-7,183.60|251.20,2,1,0,200,0
2025_12,4220251201010004,OH_HIGH,MKT1,6,0.0,1-3-5,6-3-7,0.0,6,3-1-5,441.50,1,1,0,100,0
2025_12,4220251201010004,OH_HIGH,MKT2,6,0.0,1-3-5,6-3-7,0.0,6,3-1-5|3-5-1,441.50|565.30,2,1,0,200,0
2025_12,4220251201030011,BASE,MKT1,3,1.0,1-2-5,1-6-4,0.0,6,1-5-2,42.40,1,1,0,100,0
2025_12,4220251201030011,BASE,MKT2,3,1.0,1-2-5,1-6-4,0.0,6,1-5-2|1-2-5,42.40|126.30,2,1,0,200,0
2025_12,4220251201030011,OH_HIGH,MKT1,3,1.0,1-5-7,1-6-4,0.0,6,1-5-7,35.70,1,1,0,100,0
