month,race_id,trio,ticket,odds,market_p,actual_hit,score_order,winner_score_rank,line_pos_order,winner_line_pos,running_style_order,winner_running_style,escape_count,winner_is_escape,winner_score_rank_x_line_pos,group_score_percentile
2025_01,1320250104020002,1-2-5,2-1-5,65.2,0.011456690590953248,0,2-1-3,2,2-1-1,2,追-追-逃,追,1,0,2x2,0.2
2025_01,1320250104020002,1-2-5,2-5-1,24.4,0.030613779775825897,0,2-3-1,2,2-1-1,2,追-逃-追,追,1,0,2x2,0.2
2025_01,1320250104020002,1-2-5,5-1-2,15.3,0.048821975590206,0,3-1-2,3,1-1-2,1,逃-追-追,逃,1,1,3x1,0.2
2025_01,1320250104020002,1-2-5,5-2-1,8.9,0.08392991309327548,0,3-2-1,3,1-2-1,1,逃-追-追,逃,1,1,3x1,0.2
2025_01,1320250104020002,1-3-4,1-3-4,280.4,0.0026639665710775744,0,1-3-2,1,1-2-1,1,追-逃-両,追,1,0,1x1,0.15
2025_01,1320250104020002,1-3-4,1-4-3,135.9,0.0054965138081688875,0,1-2-3,1,1-1-2,1,追-両-逃,追,1,0,1x1,0.15
2025_01,1320250104020002,1-3-4,3-1-4,758.4,0.0009849370075555798,0,3-1-2,3,2-1-1,2,逃-追-両,逃,1,1,3x2,0.15
2025_01,1320250104020002,1-3-4,3-4-1,1182.3,0.0006317992273789663,0,3-2-1,3,2-1-1,2,逃-両-追,逃,1,1,3x2,0.15
2025_01,1320250104020002,1-3-4,4-1-3,404.6,0.0018462091609741762,0,2-1-3,2,1-1-2,1,両-追-逃,両,1,0,2x1,0.15
2025_01,1320250104020002,1-3-4,4-3-1,1057.8,0.0007061601687749591,0,2-3-1,2,1-2-1,1,両-逃-追,両,1,0,2x1,0.15
2025_01,1320250104020002,1-4-5,1-4-5,26.0,0.0287298548665443,0,1-2-3,1,1-1-1,1,追-両-逃,追,1,0,1x1,0.25
2025_01,1320250104020002,1-4-5,1-5-4,25.5,0.029293185354123598,0,1-3-2,1,1-1-1,1,追-逃-両,追,1,0,1x1,0.25
2025_01,1320250104020002,1-4-5,4-1-5,61.5,0.012145954902929298,0,2-1-3,2,1-1-1,1,両-追-逃,両,1,0,2x1,0.25
2025_01,1320250104020002,1-4-5,4-5-1,42.4,0.0176173638332583,0,2-3-1,2,1-1-1,1,両-逃-追,両,1,0,2x1,0.25
2025_01,1320250104020002,1-4-5,5-1-4,9.1,0.082085299618698,1,3-1-2,3,1-1-1,1,逃-追-両,逃,1,1,3x1,0.25
2025_01,1320250104020002,1-4-5,5-4-1,9.7,0.0770078584051703,0,3-2-1,3,1-1-1,1,逃-両-追,逃,1,1,3x1,0.25
2025_01,1320250104020002,2-3-4,2-3-4,320.7,0.0023292055707207727,0,1-3-2,1,2-2-1,2,追-逃-両,追,1,0,1x2,0.35
2025_01,1320250104020002,2-3-4,2-4-3,471.0,0.0015859367866882202,0,1-2-3,1,2-1-2,2,追-両-逃,追,1,0,1x2,0.35
2025_01,1320250104020002,2-3-4,3-2-4,651.8,0.0011460205991564159,0,3-1-2,3,2-2-1,2,逃-追-両,逃,1,1,3x2,0.35
2025_01,1320250104020002,2-3-4,3-4-2,1355.0,0.0005512739679189312,0,3-2-1,3,2-1-2,2,逃-両-追,逃,1,1,3x2,0.35
2025_01,1320250104020002,2-3-4,4-2-3,749.0,0.0009972980327505364,0,2-1-3,2,1-2-2,1,両-追-逃,両,1,0,2x1,0.35
2025_01,1320250104020002,2-3-4,4-3-2,1218.1,0.0006132306268205827,0,2-3-1,2,1-2-2,1,両-逃-追,両,1,0,2x1,0.35
2025_01,1320250104020002,2-4-5,2-4-5,202.0,0.003697902111535405,0,1-2-3,1,2-1-1,2,追-両-逃,追,1,0,1x2,0.4
2025_01,1320250104020002,2-4-5,2-5-4,61.0,0.012245511910330359,0,1-3-2,1,2-1-1,2,追-逃-両,追,1,0,1x2,0.4
2025_01,1320250104020002,2-4-5,4-2-5,347.5,0.0021495718749069115,0,2-1-3,2,1-2-1,1,両-追-逃,両,1,0,2x1,0.4
2025_01,1320250104020002,2-4-5,4-5-2,233.7,0.0031963039218234996,0,2-3-1,2,1-1-2,1,両-逃-追,両,1,0,2x1,0.4
2025_01,1320250104020002,2-4-5,5-2-4,27.6,0.027064356033701154,0,3-1-2,3,1-2-1,1,逃-追-両,逃,1,1,3x1,0.4
2025_01,1320250104020002,2-4-5,5-4-2,64.9,0.011509649099077838,0,3-2-1,3,1-1-2,1,逃-両-追,逃,1,1,3x1,0.4
2025_01,1320250104020004,1-2-5,1-2-5,610.8,0.0012267415970365072,0,3-2-1,3,2-1-2,2,追-逃-追,追,1,0,3x2,0.42857142857142855
2025_01,1320250104020004,1-2-5,1-5-2,487.2,0.001537959292836409,0,3-1-2,3,2-2-1,2,追-追-逃,追,1,0,3x2,0.42857142857142855
2025_01,1320250104020004,1-2-5,2-1-5,449.9,0.0016654673649030864,0,2-3-1,2,1-2-2,1,逃-追-追,逃,1,1,2x1,0.42857142857142855
2025_01,1320250104020004,1-2-5,2-5-1,166.8,0.004492168869723612,0,2-1-3,2,1-2-2,1,逃-追-追,逃,1,1,2x1,0.42857142857142855
2025_01,1320250104020004,1-2-5,5-1-2,232.4,0.0032241556259462066,0,1-3-2,1,2-2-1,2,追-追-逃,追,1,0,1x2,0.42857142857142855
2025_01,1320250104020004,1-2-5,5-2-1,94.9,0.00789561398809166,0,1-2-3,1,2-1-2,2,追-逃-追,追,1,0,1x2,0.42857142857142855
2025_01,1320250104020004,1-3-7,1-3-7,266.8,0.0028084474043099644,0,3-2-1,3,2-1-2,2,追-両-両,追,0,0,3x2,0.2
2025_01,1320250104020004,1-3-7,1-7-3,140.2,0.005344463391368748,0,3-1-2,3,2-2-1,2,追-両-両,追,0,0,3x2,0.2
2025_01,1320250104020004,1-3-7,3-1-7,150.5,0.004978696129368096,0,2-3-1,2,1-2-2,1,両-追-両,両,0,0,2x1,0.2
2025_01,1320250104020004,1-3-7,3-7-1,53.2,0.014084469313343955,0,2-1-3,2,1-2-2,1,両-両-追,両,0,0,2x1,0.2
2025_01,1320250104020004,1-3-7,7-1-3,26.3,0.02849025731824709,0,1-3-2,1,2-2-1,2,両-追-両,両,0,0,1x2,0.2
2025_01,1320250104020004,1-3-7,7-3-1,33.3,0.022501314338435392,1,1-2-3,1,2-1-2,2,両-両-追,両,0,0,1x2,0.2
2025_01,1320250104020004,1-5-7,1-5-7,227.2,0.003297947920202018,0,3-2-1,3,2-2-2,2,追-追-両,追,0,0,3x2,0.08571428571428572
