split,month,race_id,variant,target,head_bust,result_source,candidate_sets,orders,bets,actual,set_match,bet,bet_hit,stake,pay,reason
TRAIN,2025_06,3120250601010002,OH_EQ,2,0.0,monthly,1-3-4,1-3-4,1-3-4,1-5-2,0.0,1,0.0,100,0,BET
TRAIN,2025_06,3120250601010002,OH_HIGH,2,0.0,monthly,1-3-4,1-3-4,1-3-4,1-5-2,0.0,1,0.0,100,0,BET
TRAIN,2025_06,3120250601010002,OH_TOP,2,0.0,monthly,1-3-4,1-3-4,1-3-4,1-5-2,0.0,1,0.0,100,0,BET
TRAIN,2025_06,3120250601020002,BASE,2,0.0,monthly,1-3-5,1-3-5,1-3-5,1-2-6,0.0,1,0.0,100,0,BET
TRAIN,2025_06,3120250601020002,OH_EQ,2,0.0,monthly,1-3-5,1-3-5,1-3-5,1-2-6,0.0,1,0.0,100,0,BET
TRAIN,2025_06,3120250601020002,OH_HIGH,2,0.0,monthly,,,,1-2-6,0.0,0,0.0,0,0,cannot_compress_third_slot_too_wide
TRAIN,2025_06,3120250601020002,OH_TOP,2,0.0,monthly,1-3-4|1-3-7,1-3-4|1-3-7,1-3-4|1-3-7,1-2-6,0.0,1,0.0,200,0,BET
TRAIN,2025_06,3120250601030002,BASE,2,0.0,monthly,1-3-5,1-3-5,1-3-5,1-4-2,0.0,1,0.0,100,0,BET
TRAIN,2025_06,3120250601030002,OH_EQ,2,0.0,monthly,,,,1-4-2,0.0,0,0.0,0,0,cannot_compress_third_slot_too_wide
TRAIN,2025_06,3120250601030002,OH_HIGH,2,0.0,monthly,1-4-5,1-5-4,,1-4-2,0.0,0,0.0,0,0,odds_too_low
TRAIN,2025_06,3120250601030002,OH_TOP,2,0.0,monthly,1-4-5,1-5-4,,1-4-2,0.0,0,0.0,0,0,odds_too_low
